Dominance,Date,ian,mo,jo,jul,hauteur_sim,lai_n_sim,masec_n_sim,Plant,HR_1_meas,HR_2_meas,AZnit_1_meas,AZnit_2_meas,QNplante_meas,hauteur_meas,hauteur_sd_meas,lai_n_meas,lai_n_sd_meas,masec_n_meas,masec_n_sd_meas,fapar_meas,fapar_sd_meas,tauxcouv_n_meas,tauxcouv_n_sd_meas
Associated,2018-09-26T00:00:00Z,2018,9,26,269,0,0,0,ficplt2.txt,,,,,,,,,,,,,,,
Associated,2018-09-27T00:00:00Z,2018,9,27,270,0,0,0,ficplt2.txt,,,,,,,,,,,,,,,
Associated,2018-09-28T00:00:00Z,2018,9,28,271,0,0,0,ficplt2.txt,,,,,,,,,,,,,,,
Associated,2018-09-29T00:00:00Z,2018,9,29,272,0,0,0,ficplt2.txt,,,,,,,,,,,,,,,
Associated,2018-09-30T00:00:00Z,2018,9,30,273,0,0,0,ficplt2.txt,,,,,,,,,,,,,,,
Associated,2018-10-01T00:00:00Z,2018,10,1,274,0,0,0,ficplt2.txt,,,,,,,,,,,,,,,
Associated,2018-10-02T00:00:00Z,2018,10,2,275,0,0,0,ficplt2.txt,,,,,,,,,,,,,,,
Associated,2018-10-03T00:00:00Z,2018,10,3,276,0,0,0,ficplt2.txt,,,,,,,,,,,,,,,
Associated,2018-10-04T00:00:00Z,2018,10,4,277,0,0,0,ficplt2.txt,,,,,,,,,,,,,,,
Associated,2018-10-05T00:00:00Z,2018,10,5,278,0,0,0,ficplt2.txt,,,,,,,,,,,,,,,
